Allele;Frequency
HLA-A11:44;0,00000071
HLA-A11:47;0,00000008
HLA-A11:49;0,00000001
HLA-A11:52;0,00000051
HLA-A11:54;0,00000008
HLA-A11:57;0,00000010
HLA-A11:58;0,00000016
HLA-A11:59;0,00000020
HLA-A11:61;0,00000006
HLA-A11:65;0,00000008
HLA-A11:70;0,00000001
HLA-A11:96;0,00000006
HLA-A23:01;0,02988442
HLA-A23:02;0,00000732
HLA-A23:03;0,00000936
HLA-A23:04;0,00001068
HLA-A23:05;0,00001837
HLA-A23:06;0,00000601
HLA-A23:09;0,00000250
HLA-A23:10;0,00000065
HLA-A23:11;0,00000494
HLA-A23:12;0,00000019
HLA-A23:13;0,00000078
HLA-A23:14;0,00000101
HLA-A23:15;0,00000261
HLA-A23:16;0,00000556
HLA-A23:17;0,00002833
HLA-A23:20;0,00000105
HLA-A23:23;0,00000111
HLA-A23:24;0,00000032
HLA-A23:27;0,00000617
HLA-A23:28;0,00000004
HLA-A23:29;0,00000618
HLA-A23:30;0,00000085
HLA-A23:31;0,00000020
HLA-A23:39;0,00000103
HLA-A23:40;0,00000001
HLA-A24:02;0,11049335
HLA-A24:03;0,00413398
HLA-A24:04;0,00252637
HLA-A24:05;0,00008532
HLA-A24:06;0,00004071
HLA-A24:07;0,00879967
HLA-A24:08;0,00006209
HLA-A24:10;0,00065698
HLA-A24:101;0,00000011
HLA-A24:103;0,00000002
HLA-A24:104;0,00000002
HLA-A24:105;0,00000002
HLA-A24:106;0,00000022
HLA-A24:109;0,00000275
HLA-A24:11;0,00000306
HLA-A24:110;0,00000006
HLA-A24:118;0,00000004
HLA-A24:121;0,00000010
HLA-A24:122;0,00000002
HLA-A24:13;0,00002933
HLA-A24:131;0,00000010
HLA-A24:138;0,00000014
HLA-A24:14;0,00008373
HLA-A24:145;0,00000063
HLA-A24:15;0,00000148
HLA-A24:162;0,00000008
HLA-A24:167;0,00000022
HLA-A24:168;0,00000002
HLA-A24:17;0,00253660
HLA-A24:176;0,00000004
HLA-A24:18;0,00000333
HLA-A24:19;0,00000028
HLA-A24:20;0,00033073
HLA-A24:206;0,00000002
HLA-A24:21;0,00000482
HLA-A24:22;0,00006233
HLA-A24:23;0,00007909
HLA-A24:238;0,00000002
HLA-A24:24;0,00000083
HLA-A24:25;0,00008660
HLA-A24:252;0,00000002
HLA-A24:256;0,00000034
HLA-A24:26;0,00006134
HLA-A24:27;0,00000314
HLA-A24:28;0,00000979
HLA-A24:286;0,00000002
HLA-A24:29;0,00000563
HLA-A24:30;0,00010416
HLA-A24:305;0,00000210
HLA-A24:31;0,00000686
HLA-A24:312;0,00000034
HLA-A24:314;0,00000100
HLA-A24:32;0,00000341
HLA-A24:324;0,00000182
HLA-A24:33;0,00000203
HLA-A24:34;0,00000024
HLA-A24:35;0,00000262
HLA-A24:353;0,00002489
HLA-A24:357;0,00000002
HLA-A24:359;0,00000002
HLA-A24:37;0,00000210
HLA-A24:38;0,00000047
HLA-A24:39;0,00000004
HLA-A24:42;0,00000101
HLA-A24:43;0,00000112
HLA-A24:45;0,00000032
HLA-A24:46;0,00000352
HLA-A24:47;0,00000013
HLA-A24:49;0,00000028
HLA-A24:50;0,00000018
HLA-A24:51;0,00000254
HLA-A24:52;0,00000030
HLA-A24:53;0,00000472
HLA-A24:55;0,00000411
HLA-A24:56;0,00000738
HLA-A24:57;0,00000110
HLA-A24:58;0,00000066
HLA-A24:59;0,00000001
HLA-A24:63;0,00000207
HLA-A24:64;0,00000121
HLA-A24:68;0,00000006
HLA-A24:69;0,00000002
HLA-A24:70;0,00000014
HLA-A24:71;0,00000002
HLA-A24:72;0,00000072
HLA-A24:73;0,00000026
HLA-A24:74;0,00000022
HLA-A24:77;0,00000006
HLA-A24:80;0,00000022
HLA-A24:81;0,00000019
HLA-A24:82;0,00000016
HLA-A24:88;0,00000115
HLA-A24:90;0,00000002
HLA-A24:93;0,00000098
HLA-A24:94;0,00000014
HLA-A24:95;0,00000215
HLA-A24:97;0,00000010
HLA-A25:01;0,01135617
HLA-A25:02;0,00001131
HLA-A25:03;0,00000122
HLA-A25:04;0,00000355
HLA-A25:05;0,00000674
HLA-A25:06;0,00000142
HLA-A25:08;0,00000018
HLA-A25:09;0,00000014
HLA-A25:10;0,00000015
HLA-A25:11;0,00000062
HLA-A25:12;0,00000016
HLA-A25:13;0,00000014
HLA-A25:14;0,00000020
HLA-A25:15;0,00000014
HLA-A25:16;0,00000014
HLA-A25:17;0,00000014
HLA-A25:18;0,00000014
HLA-A25:19;0,00000014
HLA-A25:20;0,00000014
HLA-A25:21;0,00000014
HLA-A25:22;0,00000014
HLA-A25:23;0,00000014
HLA-A25:24;0,00000014
HLA-A25:28;0,00000002
HLA-A26:01;0,04248400
HLA-A26:02;0,00114037
HLA-A26:03;0,00081673
HLA-A26:04;0,00002592
HLA-A26:05;0,00003070
HLA-A26:06;0,00000318
HLA-A26:07;0,00001143
HLA-A26:08;0,00037171
HLA-A26:09;0,00001213
HLA-A26:10;0,00000463
HLA-A26:104;0,00000002
HLA-A26:11;0,00000321
HLA-A26:12;0,00013690
HLA-A26:13;0,00000179
HLA-A26:14;0,00000136
HLA-A26:15;0,00000737
HLA-A26:16;0,00000431
HLA-A26:161;0,00000002
HLA-A26:17;0,00004591
HLA-A26:18;0,00000929
HLA-A26:19;0,00000214
HLA-A26:20;0,00000755
HLA-A26:21;0,00001123
HLA-A26:23;0,00000002
HLA-A26:26;0,00000197
HLA-A26:27;0,00002544
HLA-A26:28;0,00000001
HLA-A26:29;0,00002416
HLA-A26:30;0,00000358
HLA-A26:31;0,00000005
HLA-A26:32;0,00000101
HLA-A26:33;0,00000020
HLA-A26:34;0,00000026
HLA-A26:35;0,00000172
HLA-A26:36;0,00000090
HLA-A26:37;0,00000002
HLA-A26:38;0,00000020
HLA-A26:39;0,00000035
HLA-A26:40;0,00000008
HLA-A26:42;0,00000002
HLA-A26:45;0,00000008
HLA-A26:49;0,00000282
HLA-A26:52;0,00000040
HLA-A26:54;0,00000002
HLA-A26:60;0,00000014
HLA-A26:64;0,00000002
HLA-A26:65;0,00000063
HLA-A26:67;0,00000099
HLA-A29:01;0,01286576
HLA-A29:02;0,01789754
HLA-A29:03;0,00001034
HLA-A29:04;0,00000158
HLA-A29:05;0,00000296
HLA-A29:07;0,00000003
HLA-A29:09;0,00000030
HLA-A29:10;0,00004982
HLA-A29:11;0,00001372
HLA-A29:12;0,00000377
HLA-A29:13;0,00000040
HLA-A29:14;0,00000004
HLA-A29:15;0,00000287
HLA-A29:16;0,00000002
HLA-A29:17;0,00000001
HLA-A29:18;0,00000004
HLA-A29:19;0,00000004
HLA-A29:20;0,00000012
HLA-A29:21;0,00000034
HLA-A29:22;0,00000020
HLA-A29:27;0,00000522
HLA-A29:29;0,00000522
HLA-A29:32;0,00000103
HLA-A29:34;0,00000006
HLA-A29:71;0,00000002
HLA-A29:90;0,00000002
HLA-A30:01;0,02622575
HLA-A30:02;0,01783773
HLA-A30:03;0,00000006
HLA-A30:04;0,00353826
HLA-A30:06;0,00001001
HLA-A30:07;0,00001663
HLA-A30:08;0,00000820
